category_url,category_url_clean,page,handle,name,app_url,icon_url,rating,review_count,has_free_plan_text,pricing_text,short_description,built_for_shopify,is_ad
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,rapid-search,RS: Smart Search Bar & Filter ,https://apps.shopify.com/rapid-search,https://cdn.shopify.com/app-store/listing_images/783115f7f0a0396e05f1baab9b276204/icon/CJi7mYz9kIsDEAE=.png,4.8,320,True,Free plan available,Drive Sales and Cut Bounce with AI Search Bar & Custom Filters,True,False
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,product-filter-search,Boost AI Search & Filter,https://apps.shopify.com/product-filter-search,https://cdn.shopify.com/app-store/listing_images/d4172f8181a20b56ade67cc448fac594/icon/CMKjgqn00YwDEAE=.png,4.7,1562,False,Free trial available,"Grow sales with search & discovery: search bar, product filter",False,False
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,expertrec-smart-search-bar,Search & Product Discovery ‑AI,https://apps.shopify.com/expertrec-smart-search-bar,https://cdn.shopify.com/app-store/listing_images/c7dc9985cb00f80b62ad9811751b9a21/icon/CMCtqqGvm_oCEAE=.jpeg,4.8,15,True,"Free plan available Search & discovery with search bar and filters, AI powered",The app developer paid to promote this listing. This ad is based on your current search terms.,False,True
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,ryzo-search,Ryzo: AI Search & Image Search,https://apps.shopify.com/ryzo-search,https://cdn.shopify.com/app-store/listing_images/13c3194ffbb0fa55c6500b556c4b5e1b/icon/CNe4mK2U0I4DEAE=.png,5.0,10,True,Free plan available,"AI search with smart, visual and image search, plus filters",False,False
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,product-filter-and-search,Smart Product Filter & Search,https://apps.shopify.com/product-filter-and-search,https://cdn.shopify.com/app-store/listing_images/f44b43e81ef89598c0de05c8ea6dcf80/icon/CIe83cL0lu8CEAE=.png,4.9,1994,True,Free plan available,Boost sales with AI semantic search and instant filters,False,False
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,searchanise,Searchanise Search & Filter,https://apps.shopify.com/searchanise,https://cdn.shopify.com/app-store/listing_images/543e5094f4dc166bd6de54ff98c7e80e/icon/CPTl8uCS3v0CEAE=.png,4.7,1181,False,Free to install,Increase sales with smart search result pages & custom filters,False,False
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,search-and-discovery,Shopify Search & Discovery,https://apps.shopify.com/search-and-discovery,https://cdn.shopify.com/app-store/listing_images/6bac79c21731e1e8e59b127c6213010a/icon/CM_yj4Kah4ADEAE=.png,3.5,478,False,Free,Customize your storefront search and discovery experience,False,False
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,cloudsearch,XCloud Search & Product Filter,https://apps.shopify.com/cloudsearch,https://cdn.shopify.com/app-store/listing_images/d19d722c35711ba56241cdaf7e68631c/icon/CPW4lMj0lu8CEAE=.png,4.8,513,False,Free to install,Supercharge browsing with smart search bar & collection filter,True,False
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,prefixbox-search,Prefixbox AI Search Bar Filter,https://apps.shopify.com/prefixbox-search,https://cdn.shopify.com/app-store/listing_images/b36cc5d077996599dd118052f2926ed6/icon/CKGpppGh14IDEAE=.png,5.0,50,True,Free plan available,AI search & dynamic filters to boost your product discovery,True,False
https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,https://apps.shopify.com/categories/store-design-search-and-navigation-search-and-filters/all,1,easysearch,Year Make Model ‑ EasySearch,https://apps.shopify.com/easysearch,https://cdn.shopify.com/app-store/listing_images/edaef6646310a2450df399018572ef92/icon/CLjM7sqc_v0CEAE=.png,4.7,124,False,Free trial available,Year Make Model Search that enhances UX and store efficiency,True,False
