category_url,page,handle,name,app_url,icon_url,rating,review_count,has_free_plan_text,pricing_text,short_description,built_for_shopify,is_ad
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,loox,Loox ‑ Visual Product Reviews,https://apps.shopify.com/loox,https://cdn.shopify.com/app-store/listing_images/252ae7c55fa0e8a35df7f6ff3c8c1596/icon/CPLp1Kb0lu8CEAE=.jpg,4.9,7202,False,Free trial available,"Beautiful product reviews app with photos, videos & referrals",True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,vitals,"Vitals: Reviews, Bundles & 40+",https://apps.shopify.com/vitals,https://cdn.shopify.com/app-store/listing_images/90600ebf22ca801b5fc543ad9b7553f0/icon/CPGxj-7H6IcDEAE=.png,4.9,2533,False,Free trial available,"40+ Apps in One: Reviews, Bundles, Visitor Recordings and more",True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,quoli-product-reviews-ugc,Quoli Product Reviews & UGC,https://apps.shopify.com/quoli-product-reviews-ugc,https://cdn.shopify.com/app-store/listing_images/6d8cc49455fa46084765207806178170/icon/CIzbprnO8IwDEAE=.png,4.8,38,True,"Free plan available Product reviews app with photos, videos, questions, and UGC.",The app developer paid to promote this listing. This ad is based on your current search terms.,False,True
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,junip,Junip Product Reviews App & AI,https://apps.shopify.com/junip,https://cdn.shopify.com/app-store/listing_images/96f1afce30a67cdc7d9ac627db24ff70/icon/CKbw46nFy_YCEAE=.png,4.9,933,True,Free plan available,"Convert more with product reviews, unlimited review requests",True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,judgeme,Judge.me Product Reviews App,https://apps.shopify.com/judgeme,https://cdn.shopify.com/app-store/listing_images/8cada0f5da411a64e756606bb036f1ed/icon/CIfp9fWd34sDEAE=.png,5.0,33486,True,Free plan available,"Collect unlimited product reviews, star ratings, testimonials",True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,air-reviews,Air Product Reviews App & UGC,https://apps.shopify.com/air-reviews,https://cdn.shopify.com/app-store/listing_images/d636d73c74c4684a910d23211e0e6ddf/icon/CJbfpYa_9oYDEAE=.jpeg,4.9,2416,False,Free,"Build trust w/ unlimited product reviews, photos, testimonials",True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,sealapps-product-review,TrustWILL Product Reviews app,https://apps.shopify.com/sealapps-product-review,https://cdn.shopify.com/app-store/listing_images/88d8c68b44115c8ca0ed9eba8c945b2c/icon/CKTXwqmn85EDEAE=.png,4.9,1435,True,Free plan available,"Build trust with customer reviews, photo&video testimonials.",True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,doran-reviews-questions,Doran Product Reviews App & QA,https://apps.shopify.com/doran-reviews-questions,https://cdn.shopify.com/app-store/listing_images/5c4247256eb693905c11ca79b23d4547/icon/CNn_4uiCw44DEAE=.png,4.9,687,False,Free,Collect product reviews & show star ratings w+ photos & videos,True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,google-reviews-trust-badge,Google Reviews by Reputon,https://apps.shopify.com/google-reviews-trust-badge,https://cdn.shopify.com/app-store/listing_images/02390e57cc10c164770a62f5ff798ec9/icon/CNytmoeEjooDEAE=.png,4.9,1105,False,Free trial available,"Display and collect Google customer reviews, reply with AI",True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,google-review-plus-by-entangle-1,Rocket Google Reviews,https://apps.shopify.com/google-review-plus-by-entangle-1,https://cdn.shopify.com/app-store/listing_images/5304bcb9e74f9f49b0e22d99aeccb521/icon/CKuxsMKd3o0DEAE=.jpeg,5.0,317,True,Free plan available,"Display, Collect, AI-Reply & Auto-Translate Google Reviews.",True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,ali-reviews,Ali Reviews: AI Product Review,https://apps.shopify.com/ali-reviews,https://cdn.shopify.com/app-store/listing_images/1ff5e1954776a87c29b55388172a662f/icon/CN-n0K7RtI4DEAE=.png,4.8,1362,True,Free plan available,Product reviews importer - Boost dropshipping sales w/ reviews,True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,aliexpress-review-importer,Judge.me Ali Reviews Importer,https://apps.shopify.com/aliexpress-review-importer,https://cdn.shopify.com/app-store/listing_images/d38e6e87a153baa1131d676e4b750e49/icon/CLfFw6C1r40DEAE=.png,4.7,107,False,Free,Easily import reviews from AliExpress for dropshipping,True,False
https://apps.shopify.com/categories/marketing-and-conversion-social-trust-product-reviews/all,1,trustshop,TrustShop: Product Reviews,https://apps.shopify.com/trustshop,https://cdn.shopify.com/app-store/listing_images/97bd740ed0597c4d5220e15ae930308d/icon/CKub0pnr1okDEAE=.png,4.9,267,True,Free plan available,Build trust with product review app testimonial & star rating,True,False
